timp;v_in;m;omega;ia
0,097598718;24;0;600;4,19789E-14
0,097700029;24;0;600;4,19789E-14
0,097806948;24;0;600;4,19789E-14
0,09790669;24;0;600;4,19789E-14
0,098;24;0;600;4,19789E-14
0,098090074;24;0;600;4,19789E-14
0,098187314;24;0;600;4,19789E-14
0,098293572;24;0;600;4,19789E-14
0,098406481;24;0;600;4,19789E-14
0,098511245;24;0;600;4,19789E-14
0,098616009;24;0;600;4,19789E-14
0,098704944;24;0;600;4,19789E-14
0,098794945;24;0;600;4,19789E-14
0,098895334;24;0;600;4,19789E-14
0,099;24;0;600;4,19789E-14
0,099127806;24;0;600;4,19789E-14
0,0992037;24;0;600;4,19789E-14
0,099279595;24;0;600;4,19789E-14
0,09937716;24;0;600;4,19789E-14
0,099499263;24;0;600;4,19789E-14
0,09958333;24;0;600;4,19789E-14
0,099667396;24;0;600;4,19789E-14
0,099767336;24;0;600;4,19789E-14
