timp;v_in;m;omega;ia
0,050352811;24;0;599,9999901;4,75189E-07
0,050399;24;0;599,9999903;4,66582E-07
0,050455329;24;0;599,9999905;4,56296E-07
0,050506178;24;0;599,9999907;4,47205E-07
0,050575754;24;0;599,999991;4,35059E-07
0,050635884;24;0;599,9999912;4,24828E-07
0,050708948;24;0;599,9999914;4,1272E-07
0,050785292;24;0;599,9999917;4,00436E-07
0,050870937;24;0;599,999992;3,87091E-07
0,050970772;24;0;599,9999923;3,72095E-07
0,051;24;0;599,9999924;3,67816E-07
0,051119889;24;0;599,9999927;3,50772E-07
0,051232905;24;0;599,999993;3,35428E-07
0,051333286;24;0;599,9999933;3,22364E-07
0,051422162;24;0;599,9999935;3,11223E-07
0,051507577;24;0;599,9999938;3,00878E-07
0,051602628;24;0;599,999994;2,8977E-07
0,051708955;24;0;599,9999942;2,77829E-07
0,051819321;24;0;599,9999945;2,65955E-07
0,051930373;24;0;599,9999947;2,5452E-07
0,052;24;0;599,9999949;2,47602E-07
0,052092432;24;0;599,999995;2,38709E-07
0,05223014;24;0;599,9999953;2,26047E-07
0,052304054;24;0;599,9999954;2,19531E-07
0,052377968;24;0;599,9999956;2,13202E-07
0,052475685;24;0;599,9999957;2,05114E-07
0,052600216;24;0;599,9999959;1,9525E-07
0,05267998;24;0;599,9999961;1,89183E-07
0,052759744;24;0;599,9999962;1,83304E-07
0,052859594;24;0;599,9999963;1,76202E-07
0,053;24;0;599,9999965;1,66678E-07
0,053070662;24;0;599,9999966;1,62082E-07
0,053141325;24;0;599,9999967;1,57612E-07
0,053228611;24;0;599,9999968;1,5226E-07
0,053338873;24;0;599,999997;1,45759E-07
0,053449134;24;0;599,9999971;1,39535E-07
0,053552745;24;0;599,9999972;1,33929E-07
0,053639146;24;0;599,9999973;1,29427E-07
0,05373068;24;0;599,9999974;1,24822E-07
0,053830902;24;0;599,9999975;1,19968E-07
0,053941137;24;0;599,9999976;1,14847E-07
0,054;24;0;599,9999977;1,12203E-07
0,054105578;24;0;599,9999978;1,07611E-07
0,054216644;24;0;599,9999979;1,02983E-07
0,054319356;24;0;599,9999979;9,88811E-08
0,054422069;24;0;599,999998;9,49422E-08
0,054512381;24;0;599,9999981;9,16087E-08
0,054604575;24;0;599,9999982;8,83265E-08
0,054707184;24;0;599,9999982;8,48115E-08
0,054819643;24;0;599,9999983;8,11196E-08
0,054924592;24;0;599,9999984;7,78194E-08
0,055;24;0;599,9999984;7,55313E-08
0,055092416;24;0;599,9999985;7,28187E-08
0,055203683;24;0;599,9999986;6,96817E-08
0,055318732;24;0;599,9999986;6,65801E-08
0,055416543;24;0;599,9999987;6,40521E-08
0,055517571;24;0;599,9999987;6,15416E-08
0,055641453;24;0;599,9999988;5,85971E-08
0,055711047;24;0;599,9999988;5,70053E-08
0,05578064;24;0;599,9999988;5,54566E-08
